tt0001964,The Traitress,Drama,0
tt0001965,Vicio y virtud,\N,0
tt0001992,Zwei Frauen,\N,0
tt0001993,L'électrocuté,Sci-Fi,0
tt0001998,The Adventures of Lieutenant Petrosino,Drama,0
tt0001999,Agaton och Fina,Comedy,0
tt0002001,The Alaska-Siberian Expedition,Documentary,0
tt0002019,Amor de bestia,\N,0
tt0002022,Anfisa,Drama,0
tt0002026,Anny - Story of a Prostitute,"Drama,Romance",0
tt0002031,As You Like It,\N,0
tt0002039,Atop of the World in Motion,Documentary,0
tt0002040,Las aventuras del Pollo Palomeque,\N,0
tt0002044,Le bagnard,\N,0
tt0002046,La Barrera número 13,\N,0
tt0002047,A Batalha,Documentary,0
tt0002060,Bernáték kikocsiznak,\N,0
tt0002088,Carlota Angela,\N,0
tt0002089,Carmen,\N,0
tt0002094,Charles IV,\N,0
tt0002101,Cleopatra,"Drama,History",0
tt0002102,The Clod,\N,0
tt0002109,The Colonel's Son,\N,0
tt0002112,Concurso Hípico no Porto,Documentary,0
tt0002115,La conspiration des drapeaux,\N,0
tt0002119,The Crime and the Criminal,\N,0
tt0002130,Dante's Inferno,"Adventure,Drama,Fantasy",0
tt0002131,A Dança dos Apaches,\N,0
tt0002140,Do Men Love Women?,\N,0
tt0002152,Dødskysset,Drama,0
tt0002153,Dødsspring til hest fra cirkuskuplen,Drama,0
tt0002156,Eclipse de sol,\N,0
tt0002157,Der Eid des Stephan Huller,\N,0
tt0002161,Episódios da Terrível Explosão de Bombas no Porto,Documentary,0
tt0002163,When Honor Calls,Drama,0
tt0002165,Excursión a San Lorenzo de Munt,\N,0
tt0002167,Fadren,Drama,0
tt0002180,Fiesta colombófila en el Tibidabo,\N,0
tt0002186,The Flying Circus,Drama,0
tt0002188,For Freedom of Cuba,\N,0
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth","Biography,Drama",0
tt0002211,Den glade løjtnant,Romance,0
tt0002220,Grannie,\N,0
tt0002234,A Ruined Life,\N,0
tt0002239,Her Own Money,\N,0
tt0002242,Herod,\N,0
tt0002262,Il y a des pieds au plafond,\N,0
tt0002276,De industrieel van Pont Avesnes,\N,0
tt0002286,Judith,\N,0
tt0002292,King of the Coiners,\N,0
tt0002301,Leiria,Documentary,0
tt0002305,Life of Villa,"Documentary,War",0
tt0002315,El lobo de la sierra,\N,0
tt0002328,The Lust for Gold,\N,0
tt0002329,Today and Tomorrow,\N,0
tt0002333,The Might of Gold,\N,0
tt0002335,Magda,\N,0
tt0002337,The Mail Order Wife,\N,0
tt0002345,Marocco en het Vreemdelingenlegioen,\N,0
tt0002348,Maskierte Liebe,\N,0
tt0002361,The Midnight Wedding,Drama,0
tt0002362,The Mighty Dollar,\N,0
tt0002375,La mort du duc d'Enghien,\N,0
tt0002395,Le nègre blanc,\N,0
tt0002405,Oliver Twist,Drama,0
tt0002406,Oliver Twist,Drama,0
tt0002410,Only a Woman,\N,0
tt0002423,Madame DuBarry,"Biography,Drama",0
tt0002425,Paul J. Rainey's African Hunt,Documentary,0
tt0002431,La pierre philosophe,\N,0
tt0002432,Los Pirineos de Port-Bou a Andorra,\N,0
tt0002438,The Prodigal Daughter,\N,0
tt0002439,The Prodigal Son,\N,0
tt0002444,Quincy Adams Sawyer,Comedy,0
tt0002445,Quo Vadis?,"Drama,History",0
tt0002446,Race for a Life,\N,0
tt0002452,The Independence of Romania,"History,War",0
tt0002458,Revolución orozquista,\N,0
tt0002459,The Reward for Broncho Billy,"Drama,Western",0
tt0002461,The Life and Death of King Richard III,Drama,0
tt0002467,"Romani, the Brigand",\N,0
tt0002474,Saty delaji cloveka,Comedy,0
tt0002479,Seal Hunting in Newfoundland,Documentary,0
tt0002483,The Sergeant's Boy,Drama,0
tt0002491,The Sin of a Woman,\N,0
tt0002514,Saved in Mid-Air,Drama,0
tt0002517,Talma,\N,0
tt0002525,The Tide of Death,\N,0
tt0002540,Tropisk kærlighed,\N,0
tt0002544,Trädgårdsmästaren,Drama,0
tt0002555,The Last Bohemian,\N,0
tt0002556,Vampyrdanserinden,\N,0
tt0002559,Verkannt,\N,0
tt0002572,Wenn die Maske fällt,\N,0
tt0002589,Zona de Incursões em Chaves,\N,0
tt0002590,Zu Tode gehetzt,\N,0
tt0002591,Zu spät,\N,0
tt0002594,'Neath Austral Skies,\N,0
tt0002595,...denn alle Schuld rächt sich auf Erden,\N,0
tt0002602,The Secret of Adrianople,\N,0
tt0002605,The Adventures of Kathlyn,Adventure,0
tt0002624,El amigo del alma,\N,0
tt0002625,Ana Kadova,\N,0
tt0002628,Der Andere,"Drama,Thriller",0
tt0002637,Arizona,Western,0
tt0002642,Arvingen til Skjoldborg,Drama,0
tt0002646,Atlantis,Drama,0
tt0002648,Old Brandis' Eyes,Drama,0
tt0002649,Australia Calls,\N,0
tt0002660,Barbarous Mexico,Documentary,0
tt0002661,Barcelona bajo la nieve,\N,0
tt0002665,The Bartered Bride,\N,0
tt0002669,The Battle of Gettysburg,"Drama,War",0
tt0002670,The Battle of Shiloh,"Drama,War",0
tt0002676,El bello Arturo,Comedy,0
tt0002678,Ben Bolt,Adventure,0
tt0002679,Bianco contro negro,\N,0
tt0002683,The Black Snake,Drama,0
tt0002685,Blodets röst,Drama,0
tt0002722,Buch i Trøjen,\N,0
tt0002725,Buried Alive in a Coal Mine,Drama,0
tt0002727,Bøffen og bananen,\N,0
tt0002735,Le camée,\N,0
tt0002736,Caprice,"Comedy,Drama",0
tt0002739,Carmen,\N,0
tt0002743,El Caín moderno,\N,0
tt0002746,Checkers,"Comedy,Drama",0
tt0002748,Chelsea 7750,Drama,0
tt0002751,A Chopin Nocturne,Drama,0
tt0002763,Corazón de presidiario,\N,0
tt0002764,Corrida de feria de las fiestas del Pilar,\N,0
tt0002765,Corrida de toros en Calatayud,\N,0
tt0002767,The Count of Monte Cristo,"Drama,History",0
tt0002771,El crimen del otro,\N,0
tt0002772,The Criminal Path,"Crime,Drama",0
tt0002785,La dame de Monsoreau,\N,0
tt0002790,De muerte a vida,\N,0
tt0002798,Le dernier pardon,Comedy,0
tt0002799,Desastre do Monoplano Gnome na Amadora,Documentary,0
tt0002801,The Black Diamond,\N,0
tt0002820,East Lynne,Drama,0
tt0002822,What 80 Million Women Want,Drama,0
tt0002823,Die Eisbraut,\N,0
tt0002831,Esther,\N,0
tt0002832,Evangeline,Drama,0
tt0002833,Evinrude,"Crime,Drama",0
tt0002837,Fabricación del hielo,\N,0
tt0002844,Fantômas: In the Shadow of the Guillotine,"Crime,Drama",0
tt0002857,Uma Ferra em Salvaterra de Magos,Documentary,0
tt0002858,Fiestas en Palafrugell,\N,0
tt0002859,The Fight for Millions,Drama,0
tt0002879,The Fortune Hunters,Drama,0
tt0002880,The Four Devils,\N,0
tt0002883,Les frères ennemis,\N,0
tt0002885,From Dusk to Dawn,Drama,0
tt0002886,La fuerza del destino,\N,0
